# Field(kV/cm) Polarization(microC/cm2)
-520.000000 -0.576729
-510.000000 -0.576728
-500.000000 -0.576726
-490.000000 -0.576724
-480.000000 -0.576722
-470.000000 -0.576719
-460.000000 -0.576716
-450.000000 -0.576713
-440.000000 -0.576710
-430.000000 -0.576707
-420.000000 -0.576702
-410.000000 -0.576698
-400.000000 -0.576693
-390.000000 -0.576687
-380.000000 -0.576681
-370.000000 -0.576673
-360.000000 -0.576665
-350.000000 -0.576655
-340.000000 -0.576644
-330.000000 -0.576630
-320.000000 -0.576615
-310.000000 -0.576596
-300.000000 -0.576574
-290.000000 -0.576546
-280.000000 -0.576513
-270.000000 -0.576471
-260.000000 -0.576418
-250.000000 -0.576349
-240.000000 -0.576259
-230.000000 -0.576137
-220.000000 -0.575968
-210.000000 -0.575731
-200.000000 -0.575386
-190.000000 -0.574879
-180.000000 -0.574136
-170.000000 -0.573093
-160.000000 -0.571779
-150.000000 -0.570379
-140.000000 -0.569146
-130.000000 -0.568212
-120.000000 -0.567559
-110.000000 -0.567116
-100.000000 -0.566814
-90.000000 -0.566603
-80.000000 -0.566453
-70.000000 -0.566344
-60.000000 -0.566262
-50.000000 -0.566199
-40.000000 -0.566150
-30.000000 -0.566111
-20.000000 -0.566080
-10.000000 -0.566055
0.000000 0.000000
10.000000 0.566055
20.000000 0.566080
30.000000 0.566111
40.000000 0.566150
50.000000 0.566199
60.000000 0.566262
70.000000 0.566344
80.000000 0.566453
90.000000 0.566603
100.000000 0.566814
110.000000 0.567116
120.000000 0.567559
130.000000 0.568212
140.000000 0.569146
150.000000 0.570379
160.000000 0.571779
170.000000 0.573093
180.000000 0.574136
190.000000 0.574879
200.000000 0.575386
210.000000 0.575731
220.000000 0.575968
230.000000 0.576137
240.000000 0.576259
250.000000 0.576349
260.000000 0.576418
270.000000 0.576471
280.000000 0.576513
290.000000 0.576546
300.000000 0.576574
310.000000 0.576596
320.000000 0.576615
330.000000 0.576630
340.000000 0.576644
350.000000 0.576655
360.000000 0.576665
370.000000 0.576673
380.000000 0.576681
390.000000 0.576687
400.000000 0.576693
410.000000 0.576698
420.000000 0.576702
430.000000 0.576707
440.000000 0.576710
450.000000 0.576713
460.000000 0.576716
470.000000 0.576719
480.000000 0.576722
490.000000 0.576724
500.000000 0.576726
510.000000 0.576728
520.000000 0.576729
530.000000 0.576731
540.000000 0.576732
550.000000 0.576734
560.000000 0.576735
570.000000 0.576736
580.000000 0.576737
590.000000 0.576738
600.000000 0.576739
610.000000 0.576740
620.000000 0.576741
630.000000 0.576742
640.000000 0.576742
650.000000 0.576743
660.000000 0.576744
670.000000 0.576744
680.000000 0.576745
690.000000 0.576746
700.000000 0.576746
710.000000 0.576747
720.000000 0.576747
730.000000 0.576747
740.000000 0.576748
750.000000 0.576748
760.000000 0.576749
770.000000 0.576749
780.000000 0.576749
790.000000 0.576750
800.000000 0.576750
810.000000 0.576750
820.000000 0.576750
830.000000 0.576751
840.000000 0.576751
850.000000 0.576751
860.000000 0.576751
870.000000 0.576752
880.000000 0.576752
890.000000 0.576752
900.000000 0.576752
910.000000 0.576753
920.000000 0.576753
930.000000 0.576753
940.000000 0.576753
950.000000 0.576753
960.000000 0.576753
970.000000 0.576754
980.000000 0.576754
990.000000 0.576754
1000.000000 0.576754
1010.000000 0.576754
1020.000000 0.576754
1030.000000 0.576754
1040.000000 0.576754
1050.000000 0.576755
1060.000000 0.576755
1070.000000 0.576755
1080.000000 0.576755
1090.000000 0.576755
1100.000000 0.576755
1110.000000 0.576755
1120.000000 0.576755
1130.000000 0.576755
1140.000000 0.576755
1150.000000 0.576756
1160.000000 0.576756
1170.000000 0.576756
1180.000000 0.576756
1190.000000 0.576756
1200.000000 0.576756
1210.000000 0.576756
1220.000000 0.576756
1230.000000 0.576756
1240.000000 0.576756
1250.000000 0.576756
1260.000000 0.576756
1270.000000 0.576756
1280.000000 0.576756
1290.000000 0.576756
1300.000000 0.576757
1310.000000 0.576757
1320.000000 0.576757
1330.000000 0.576757
1340.000000 0.576757
1350.000000 0.576757
1360.000000 0.576757
1370.000000 0.576757
1380.000000 0.576757
1390.000000 0.576757
1400.000000 0.576757
1410.000000 0.576757
1420.000000 0.576757
1430.000000 0.576757
1440.000000 0.576757
1450.000000 0.576757
1460.000000 0.576757
1470.000000 0.576757
1480.000000 0.576757
1490.000000 0.576757
1500.000000 0.576757
1510.000000 0.576757
1520.000000 0.576757
1530.000000 0.576757
1540.000000 0.576758
1550.000000 0.576758
1560.000000 0.576758
1570.000000 0.576758
1580.000000 0.576758
1590.000000 0.576758
1600.000000 0.576758
1610.000000 0.576758
1620.000000 0.576758
1630.000000 0.576758
1640.000000 0.576758
1650.000000 0.576758
1660.000000 0.576758
1670.000000 0.576758
1680.000000 0.576758
1690.000000 0.576758
1700.000000 0.576758
1710.000000 0.576758
1720.000000 0.576758
1730.000000 0.576758
1740.000000 0.576758
1750.000000 0.576758
1760.000000 0.576758
1770.000000 0.576758
1780.000000 0.576758
1790.000000 0.576758
1800.000000 0.576758
1810.000000 0.576758
1820.000000 0.576758
1830.000000 0.576758
1840.000000 0.576758
1850.000000 0.576758
1860.000000 0.576758
1870.000000 0.576758
1880.000000 0.576758
1890.000000 0.576758
1900.000000 0.576758
1910.000000 0.576758
1920.000000 0.576758
1930.000000 0.576758
1940.000000 0.576758
1950.000000 0.576758
1960.000000 0.576758
1970.000000 0.576758
1980.000000 0.576758
1990.000000 0.576758
2000.000000 0.576758
2010.000000 0.576758
2020.000000 0.576758
2030.000000 0.576758
2040.000000 0.576759
2050.000000 0.576759
2060.000000 0.576759
2070.000000 0.576759
2080.000000 0.576759
2090.000000 0.576759
2100.000000 0.576759
2110.000000 0.576759
2120.000000 0.576759
2130.000000 0.576759
2140.000000 0.576759
2150.000000 0.576759
2160.000000 0.576759
2170.000000 0.576759
2180.000000 0.576759
2190.000000 0.576759
2200.000000 0.576759
2210.000000 0.576759
2220.000000 0.576759
2230.000000 0.576759
2240.000000 0.576759
2250.000000 0.576759
2260.000000 0.576759
2270.000000 0.576759
2280.000000 0.576759
2290.000000 0.576759
2300.000000 0.576759
2310.000000 0.576759
2320.000000 0.576759
2330.000000 0.576759
2340.000000 0.576759
2350.000000 0.576759
2360.000000 0.576759
2370.000000 0.576759
2380.000000 0.576759
2390.000000 0.576759
2400.000000 0.576759
2410.000000 0.576759
2420.000000 0.576759
2430.000000 0.576759
2440.000000 0.576759
2450.000000 0.576759
2460.000000 0.576759
2470.000000 0.576759
2480.000000 0.576759
2490.000000 0.576759
2500.000000 0.576759
2510.000000 0.576759
