# Field(kV/cm) Polarization(microC/cm2)
-170.000000 -0.000591
-168.750000 -0.000585
-167.500000 -0.000580
-166.250000 -0.000574
-165.000000 -0.000569
-163.750000 -0.000563
-162.500000 -0.000558
-161.250000 -0.000552
-160.000000 -0.000547
-158.750000 -0.000542
-157.500000 -0.000536
-156.250000 -0.000531
-155.000000 -0.000526
-153.750000 -0.000520
-152.500000 -0.000515
-151.250000 -0.000510
-150.000000 -0.000505
-148.750000 -0.000500
-147.500000 -0.000495
-146.250000 -0.000489
-145.000000 -0.000484
-143.750000 -0.000479
-142.500000 -0.000474
-141.250000 -0.000469
-140.000000 -0.000464
-138.750000 -0.000459
-137.500000 -0.000455
-136.250000 -0.000450
-135.000000 -0.000445
-133.750000 -0.000440
-132.500000 -0.000435
-131.250000 -0.000430
-130.000000 -0.000426
-128.750000 -0.000421
-127.500000 -0.000416
-126.250000 -0.000411
-125.000000 -0.000407
-123.750000 -0.000402
-122.500000 -0.000397
-121.250000 -0.000393
-120.000000 -0.000388
-118.750000 -0.000384
-117.500000 -0.000379
-116.250000 -0.000374
-115.000000 -0.000370
-113.750000 -0.000365
-112.500000 -0.000361
-111.250000 -0.000356
-110.000000 -0.000352
-108.750000 -0.000348
-107.500000 -0.000343
-106.250000 -0.000339
-105.000000 -0.000334
-103.750000 -0.000330
-102.500000 -0.000326
-101.250000 -0.000321
-100.000000 -0.000317
-98.750000 -0.000313
-97.500000 -0.000308
-96.250000 -0.000304
-95.000000 -0.000300
-93.750000 -0.000295
-92.500000 -0.000291
-91.250000 -0.000287
-90.000000 -0.000283
-88.750000 -0.000279
-87.500000 -0.000274
-86.250000 -0.000270
-85.000000 -0.000266
-83.750000 -0.000262
-82.500000 -0.000258
-81.250000 -0.000254
-80.000000 -0.000250
-78.750000 -0.000246
-77.500000 -0.000242
-76.250000 -0.000237
-75.000000 -0.000233
-73.750000 -0.000229
-72.500000 -0.000225
-71.250000 -0.000221
-70.000000 -0.000217
-68.750000 -0.000213
-67.500000 -0.000209
-66.250000 -0.000205
-65.000000 -0.000201
-63.750000 -0.000197
-62.500000 -0.000193
-61.250000 -0.000190
-60.000000 -0.000186
-58.750000 -0.000182
-57.500000 -0.000178
-56.250000 -0.000174
-55.000000 -0.000170
-53.750000 -0.000166
-52.500000 -0.000162
-51.250000 -0.000158
-50.000000 -0.000154
-48.750000 -0.000151
-47.500000 -0.000147
-46.250000 -0.000143
-45.000000 -0.000139
-43.750000 -0.000135
-42.500000 -0.000131
-41.250000 -0.000128
-40.000000 -0.000124
-38.750000 -0.000120
-37.500000 -0.000116
-36.250000 -0.000112
